timestamp,count,sex
2025-01-07 09:43:56,Outside,M
2025-01-07 09:44:00,Outside,F
2025-01-07 09:44:08,out_not_buy,F
2025-01-07 09:44:10,In,M
2025-01-07 09:44:11,In,F
2025-01-07 09:44:25,out_not_buy,M
2025-01-07 09:44:29,In,F
2025-01-07 09:44:30,In,F
2025-01-07 09:44:34,out_not_buy,M
2025-01-07 09:44:37,out_bought,F
2025-01-07 09:44:48,out_not_buy,M
2025-01-07 09:44:49,out_not_buy,F
2025-01-07 09:44:50,out_not_buy,F
2025-01-07 09:44:51,out_not_buy,F
2025-01-07 09:45:00,out_bought,F
2025-01-07 09:45:12,In,F
2025-01-07 09:45:18,out_not_buy,F
2025-01-07 09:45:19,out_not_buy,F
2025-01-07 09:45:33,out_not_buy,F
2025-01-07 09:46:08,In,F
2025-01-07 09:46:28,out_not_buy,M
2025-01-07 09:46:30,out_not_buy,M
2025-01-07 09:46:32,out_not_buy,F
2025-01-07 09:46:34,out_not_buy,F
2025-01-07 09:46:37,out_not_buy,F
2025-01-07 09:46:39,out_not_buy,F
2025-01-07 09:46:47,out_bought,F
2025-01-07 09:47:05,In,M
2025-01-07 09:47:06,In,F
2025-01-07 09:47:26,out_not_buy,M
2025-01-07 09:47:50,In,M
2025-01-07 09:47:52,In,F
2025-01-07 09:48:04,out_not_buy,M
2025-01-07 09:48:09,In,M
2025-01-07 09:48:14,Outside,M
2025-01-07 09:48:19,In,F
2025-01-07 09:48:27,out_bought,M
2025-01-07 09:48:35,out_bought,M
2025-01-07 09:48:40,In,M
2025-01-07 09:48:40,In,M
2025-01-07 09:48:44,out_not_buy,F
2025-01-07 09:48:45,out_not_buy,M
2025-01-07 09:48:48,out_not_buy,F
2025-01-07 09:48:58,In,F
2025-01-07 09:48:59,In,F
2025-01-07 09:48:59,In,M
2025-01-07 09:49:13,out_not_buy,F
2025-01-07 09:49:40,out_not_buy,M
2025-01-07 09:49:41,out_not_buy,F
2025-01-07 09:49:42,out_not_buy,F
2025-01-07 09:50:21,out_bought,M
2025-01-07 09:50:25,out_not_buy,F
2025-01-07 09:50:27,out_not_buy,M
2025-01-07 09:51:03,In,F
2025-01-07 09:51:23,out_not_buy,M
2025-01-07 09:51:24,In,M
2025-01-07 09:51:25,In,F
2025-01-07 09:52:16,out_not_buy,F
2025-01-07 09:52:20,In,M
2025-01-07 09:52:24,In,F
2025-01-07 09:52:25,out_not_buy,F
2025-01-07 09:52:32,out_not_buy,M
2025-01-07 09:52:33,out_not_buy,F
2025-01-07 09:52:33,out_not_buy,F
2025-01-07 09:52:34,out_not_buy,M
2025-01-07 09:52:35,out_not_buy,F
2025-01-07 09:52:37,out_bought,F
2025-01-07 09:52:45,In,M
2025-01-07 09:52:46,In,F
2025-01-07 09:53:13,In,F
2025-01-07 09:53:20,out_not_buy,M
2025-01-07 09:53:55,In,M
2025-01-07 09:53:57,In,F
2025-01-07 09:53:58,out_not_buy,M
2025-01-07 09:54:00,out_not_buy,F
2025-01-07 09:54:02,out_not_buy,M
2025-01-07 09:54:03,out_not_buy,M
2025-01-07 09:54:14,In,M
2025-01-07 09:54:55,In,M
2025-01-07 09:54:56,In,M
2025-01-07 09:55:01,out_not_buy,M
2025-01-07 09:55:17,In,F
2025-01-07 09:55:23,out_not_buy,F
2025-01-07 09:55:28,In,F
2025-01-07 09:55:30,In,F
2025-01-07 09:55:32,In,F
2025-01-07 09:56:03,In,F
2025-01-07 09:56:05,In,F
2025-01-07 09:56:26,In,F
2025-01-07 09:56:26,In,F
2025-01-07 09:56:30,out_not_buy,F
2025-01-07 09:56:43,In,M
2025-01-07 09:56:43,In,M
2025-01-07 09:56:50,out_not_buy,M
2025-01-07 09:56:52,out_not_buy,F
2025-01-07 09:56:54,In,M
2025-01-07 09:56:55,In,F
2025-01-07 09:56:57,out_not_buy,M
2025-01-07 09:57:10,In,M
2025-01-07 09:57:11,In,M
2025-01-07 09:57:12,In,F
2025-01-07 09:57:20,In,F
2025-01-07 09:57:28,out_not_buy,F
2025-01-07 09:57:29,out_not_buy,F
2025-01-07 09:57:32,out_not_buy,M
2025-01-07 09:57:41,In,F
2025-01-07 09:57:49,out_not_buy,M
2025-01-07 09:57:50,out_bought,M
2025-01-07 09:57:51,out_bought,F
2025-01-07 09:57:59,out_not_buy,F
2025-01-07 09:58:03,out_not_buy,F
2025-01-07 09:58:06,out_bought,M
2025-01-07 09:58:26,out_not_buy,M
2025-01-07 09:58:27,out_not_buy,M
2025-01-07 09:58:35,In,F
2025-01-07 09:58:36,In,M
2025-01-07 09:58:37,In,M
2025-01-07 09:58:37,In,F
2025-01-07 09:58:45,out_not_buy,M
2025-01-07 09:58:46,out_not_buy,M
2025-01-07 09:59:03,out_not_buy,F
2025-01-07 09:59:11,In,M
2025-01-07 09:59:22,In,M
2025-01-07 09:59:33,In,F
2025-01-07 09:59:34,In,F
2025-01-07 09:59:38,out_not_buy,F
2025-01-07 09:59:50,In,F
2025-01-07 09:59:51,In,F
2025-01-07 10:00:03,out_not_buy,F
2025-01-07 10:00:04,out_not_buy,M
2025-01-07 10:00:39,In,M
2025-01-07 10:00:49,out_not_buy,F
2025-01-07 10:00:51,out_not_buy,M
2025-01-07 10:00:56,out_not_buy,F
2025-01-07 10:01:03,out_not_buy,F
2025-01-07 10:01:08,In,M
2025-01-07 10:01:09,In,F
2025-01-07 10:01:10,In,F
2025-01-07 10:01:11,In,M
2025-01-07 10:01:12,In,F
2025-01-07 10:01:13,In,M
2025-01-07 10:01:23,out_bought,M
2025-01-07 10:01:23,out_bought,F
2025-01-07 10:01:26,In,M
2025-01-07 10:01:29,In,M
2025-01-07 10:01:30,In,F
2025-01-07 10:01:34,In,F
2025-01-07 10:01:45,out_not_buy,F
2025-01-07 10:01:46,In,M
2025-01-07 10:01:57,out_not_buy,F
2025-01-07 10:01:58,out_not_buy,F
2025-01-07 10:02:14,In,F
2025-01-07 10:02:29,In,F
2025-01-07 10:02:33,out_not_buy,F
2025-01-07 10:02:45,out_bought,M
2025-01-07 10:02:48,out_bought,F
2025-01-07 10:02:50,In,F
2025-01-07 10:03:05,out_bought,M
2025-01-07 10:03:07,out_not_buy,M
2025-01-07 10:03:23,out_bought,F
2025-01-07 10:03:25,out_bought,M
2025-01-07 10:03:31,In,F
2025-01-07 10:03:49,In,F
2025-01-07 10:03:50,In,M
2025-01-07 10:03:59,out_not_buy,F
2025-01-07 10:04:00,out_bought,F
2025-01-07 10:04:04,out_not_buy,F
2025-01-07 10:04:06,In,F
2025-01-07 10:04:23,In,M
2025-01-07 10:04:23,In,M
2025-01-07 10:04:24,In,F
2025-01-07 10:04:28,In,M
2025-01-07 10:04:35,out_bought,F
2025-01-07 10:04:38,out_not_buy,F
2025-01-07 10:04:40,In,M
2025-01-07 10:04:41,In,F
2025-01-07 10:04:59,out_not_buy,F
2025-01-07 10:05:00,out_not_buy,F
2025-01-07 10:05:10,out_bought,F
2025-01-07 10:05:21,In,M
2025-01-07 10:05:25,out_not_buy,M
2025-01-07 10:05:26,out_not_buy,F
2025-01-07 10:05:38,out_bought,M
2025-01-07 10:05:41,out_not_buy,F
2025-01-07 10:05:43,out_bought,M
2025-01-07 10:05:44,out_bought,F
2025-01-07 10:05:45,In,M
2025-01-07 10:05:54,out_not_buy,F
2025-01-07 10:06:02,In,F
2025-01-07 10:06:07,In,M
2025-01-07 10:06:16,out_bought,F
2025-01-07 10:06:16,out_bought,F
2025-01-07 10:06:17,out_bought,M
2025-01-07 10:06:19,out_not_buy,M
2025-01-07 10:06:21,out_not_buy,F
2025-01-07 10:06:21,out_not_buy,F
2025-01-07 10:06:22,out_not_buy,M
2025-01-07 10:06:48,out_not_buy,M
2025-01-07 10:06:49,out_not_buy,F
2025-01-07 10:06:51,In,M
2025-01-07 10:06:55,out_not_buy,M
2025-01-07 10:07:13,out_not_buy,M
2025-01-07 10:07:32,In,M
2025-01-07 10:07:34,out_not_buy,M
2025-01-07 10:07:36,out_bought,M
2025-01-07 10:07:39,out_not_buy,M
2025-01-07 10:08:17,In,M
2025-01-07 10:08:20,out_bought,M
2025-01-07 10:08:24,out_not_buy,F
2025-01-07 10:08:29,out_not_buy,M
2025-01-07 10:08:30,out_not_buy,F
2025-01-07 10:08:35,In,M
2025-01-07 10:08:36,In,F
2025-01-07 10:08:49,out_bought,M
2025-01-07 10:08:50,out_not_buy,M
2025-01-07 10:08:51,out_not_buy,F
2025-01-07 10:08:56,out_not_buy,M
2025-01-07 10:08:59,out_bought,M
2025-01-07 10:09:01,out_not_buy,M
